dataset:Kindle
Epoch 2 	 TEST SET: 0.0000 MAP: 0.0208, NDCG: 0.0473, PREC: 0.1574
Epoch 3 	 TEST SET: 0.0000 MAP: 0.0210, NDCG: 0.0477, PREC: 0.1581
Epoch 4 	 TEST SET: 0.0000 MAP: 0.0215, NDCG: 0.0483, PREC: 0.1591
Epoch 5 	 TEST SET: 0.0000 MAP: 0.0206, NDCG: 0.0477, PREC: 0.1595
Epoch 6 	 TEST SET: 0.0000 MAP: 0.0203, NDCG: 0.0469, PREC: 0.1561
Epoch 7 	 TEST SET: 0.0000 MAP: 0.0200, NDCG: 0.0466, PREC: 0.1561
Epoch 8 	 TEST SET: 0.0000 MAP: 0.0200, NDCG: 0.0464, PREC: 0.1549
Epoch 9 	 TEST SET: 0.0000 MAP: 0.0204, NDCG: 0.0466, PREC: 0.1546
Epoch 10 	 TEST SET: 0.0000 MAP: 0.0201, NDCG: 0.0462, PREC: 0.1532
Epoch 11 	 TEST SET: 0.0000 MAP: 0.0203, NDCG: 0.0463, PREC: 0.1528
Epoch 12 	 TEST SET: 0.0000 MAP: 0.0205, NDCG: 0.0460, PREC: 0.1505
Epoch 13 	 TEST SET: 0.0000 MAP: 0.0202, NDCG: 0.0458, PREC: 0.1514
Epoch 14 	 TEST SET: 0.0000 MAP: 0.0200, NDCG: 0.0454, PREC: 0.1500
Epoch 15 	 TEST SET: 0.0000 MAP: 0.0198, NDCG: 0.0452, PREC: 0.1496
Epoch 16 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0448, PREC: 0.1484
Epoch 17 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0448, PREC: 0.1482
Epoch 18 	 TEST SET: 0.0000 MAP: 0.0197, NDCG: 0.0449, PREC: 0.1486
Epoch 19 	 TEST SET: 0.0000 MAP: 0.0195, NDCG: 0.0446, PREC: 0.1475
Epoch 20 	 TEST SET: 0.0000 MAP: 0.0193, NDCG: 0.0443, PREC: 0.1472
dataset:Kindle
dataset:Kindle
dataset:Kindle
Epoch 0 	 TEST SET: 0.0000 MAP: 0.0200, NDCG: 0.0451, PREC: 0.1498
dataset:Kindle
Epoch 0 	 TEST SET: 0.0000 MAP: 0.0159, NDCG: 0.0363, PREC: 0.1223
Epoch 1 	 TEST SET: 0.0000 MAP: 0.0131, NDCG: 0.0310, PREC: 0.1074
Epoch 2 	 TEST SET: 0.0000 MAP: 0.0103, NDCG: 0.0265, PREC: 0.0974
Epoch 3 	 TEST SET: 0.0000 MAP: 0.0084, NDCG: 0.0215, PREC: 0.0784
Epoch 4 	 TEST SET: 0.0000 MAP: 0.0074, NDCG: 0.0183, PREC: 0.0653
Epoch 5 	 TEST SET: 0.0000 MAP: 0.0071, NDCG: 0.0172, PREC: 0.0607
Epoch 6 	 TEST SET: 0.0000 MAP: 0.0070, NDCG: 0.0169, PREC: 0.0598
Epoch 7 	 TEST SET: 0.0000 MAP: 0.0069, NDCG: 0.0167, PREC: 0.0591
Epoch 8 	 TEST SET: 0.0000 MAP: 0.0068, NDCG: 0.0165, PREC: 0.0586
Epoch 9 	 TEST SET: 0.0000 MAP: 0.0068, NDCG: 0.0164, PREC: 0.0579
dataset:Kindle
Epoch 0 	 TEST SET: 0.0000 MAP: 0.0186, NDCG: 0.0420, PREC: 0.1384
Epoch 1 	 TEST SET: 0.0000 MAP: 0.0195, NDCG: 0.0446, PREC: 0.1475
Epoch 2 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 3 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 4 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 5 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 6 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 7 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 8 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 9 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 10 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 11 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 12 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 13 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 14 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 15 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 16 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 17 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 18 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 19 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
Epoch 20 	 TEST SET: 0.0000 MAP: 0.0196, NDCG: 0.0447, PREC: 0.1477
dataset:Games
Epoch 0 	 TEST SET: 0.0000 MAP: 0.0339, NDCG: 0.0574, PREC: 0.1547
Epoch 1 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0605, PREC: 0.1586
Epoch 2 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0604, PREC: 0.1583
Epoch 3 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0604, PREC: 0.1583
Epoch 4 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0604, PREC: 0.1582
Epoch 5 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0604, PREC: 0.1582
Epoch 6 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0604, PREC: 0.1582
Epoch 7 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0604, PREC: 0.1582
Epoch 8 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0604, PREC: 0.1582
Epoch 9 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0604, PREC: 0.1582
Epoch 10 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0604, PREC: 0.1582
dataset:Games
Epoch 0 	 TEST SET: 0.0000 MAP: 0.0316, NDCG: 0.0546, PREC: 0.1498
Epoch 1 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0605, PREC: 0.1585
Epoch 2 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0604, PREC: 0.1582
Epoch 3 	 TEST SET: 0.0000 MAP: 0.0367, NDCG: 0.0604, PREC: 0.1582
dataset:Games
Epoch 0 	 TEST SET: 0.0000 MAP: 0.0349, NDCG: 0.0618, PREC: 0.1723
Epoch 1 	 TEST SET: 0.0000 MAP: 0.0373, NDCG: 0.0649, PREC: 0.1781
Epoch 2 	 TEST SET: 0.0000 MAP: 0.0388, NDCG: 0.0657, PREC: 0.1762
Epoch 3 	 TEST SET: 0.0000 MAP: 0.0388, NDCG: 0.0652, PREC: 0.1744
Epoch 4 	 TEST SET: 0.0000 MAP: 0.0383, NDCG: 0.0639, PREC: 0.1696
Epoch 5 	 TEST SET: 0.0000 MAP: 0.0379, NDCG: 0.0630, PREC: 0.1670
Epoch 6 	 TEST SET: 0.0000 MAP: 0.0375, NDCG: 0.0622, PREC: 0.1646
Epoch 7 	 TEST SET: 0.0000 MAP: 0.0370, NDCG: 0.0614, PREC: 0.1623
